original_name	final_name
biology-cellprofiler-nuclei-count-open-ended	000-count-nuclei
biology-cellprofiler-nuclei-locations-open-ended	001-locate-nuclei-centers
video-understanding-enter-key-count	002-count-enter-key-presses
real-estate-openstudio-comstock-floorplan-to-energy-render	003-rebuild-energy-model
industrials-openfoam-simple-plate-heater-placement	004-place-heater-for-sensors
industrials-openfoam-cold-plate-thermal-design	005-optimize-cold-plate
real-estate-openstudio-comstock-gym-auditorium-extract	006-extract-gym-auditorium
medical-3d-slicer-prostate-obj-reconstruction	007-reconstruct-prostate-obj
video-understanding-bird-chase-frame-range	008-find-bird-chase-frames
drawio-org-chart-layout-repair	009-repair-org-chart-layout
calc-boomerangsales-revenue-pivot	010-pivot-product-revenue
calc-calendar-highlight-weekend-days	011-highlight-weekends-red
calc-date-budget-variance-hide-na	012-hide-na-budget-values
calc-demographic-profile	013-format-demographic-sheet
calc-entire-summer-sales	014-pivot-promo-revenue
calc-income-statement2	015-fill-gross-profit
calc-invoices	016-count-invoice-pivot
calc-movie-title-garbage-clean	017-clean-movie-titles
calc-multiply-time-number	018-calculate-total-earnings
calc-order-id-mark-pass-fail	019-pass-fail-validation
calc-period-rate	020-calculate-period-rate
calc-ramp-up-and-down	021-fill-ramp-chart
calc-salesrep-total-sales-line-chart	022-monthly-sales-line-chart
calc-set-decimal-separator-dot	023-comma-decimal-separator
calc-small-balance-sheet	024-balance-sheet-changes
calc-summer-sales	025-product-channel-pivots
calc-weeklysales-clustered-column-chart	026-sales-cogs-column-chart
chrome-add-dota-2-dlc-to-cart	027-add-dota-dlc-cart
chrome-browse-civil-division-forms	028-civil-division-forms
chrome-browse-natural-products-database	029-natural-products-page
chrome-browse-womens-nike-jerseys-over-60	030-womens-nike-jerseys
chrome-change-profile-name-thomas	031-profile-name-thomas
chrome-compare-iphone-15-pro-max-with-14-pro-max-and-13-pro-max	032-compare-iphones
chrome-create-2048-desktop-shortcut	033-create-2048-shortcut
chrome-disable-dark-mode	034-turn-off-dark-mode
chrome-find-2019-nfl-super-bowl-score-record	035-super-bowl-score
chrome-find-driver-license-eligibility-requirements	036-license-eligibility
